X,Y,PHI
11.0065,0.0354274,0.223005
11.0276,0.0402163,0.225493
11.0822,0.0527454,0.231929
11.1399,0.0663755,0.23873
11.1846,0.0772399,0.244005
11.2318,0.0890052,0.249594
11.2847,0.102493,0.255859
11.3407,0.117142,0.262508
11.3831,0.128512,0.26754
11.4345,0.142615,0.273668
11.5075,0.163107,0.282377
11.5553,0.176969,0.288101
11.5836,0.185364,0.291507
11.6382,0.201735,0.298104
11.7018,0.221294,0.305862
11.7634,0.240742,0.313445
11.7878,0.248636,0.316477
11.8311,0.262839,0.321914
11.8806,0.279348,0.328184
11.9337,0.297429,0.334997
11.9805,0.313703,0.34108
12.0273,0.330336,0.347258
12.0764,0.348073,0.353806
12.1256,0.366279,0.36047
12.1775,0.385832,0.367602
12.2368,0.408644,0.375874
12.2702,0.421854,0.380621
12.3164,0.440328,0.387257
12.3667,0.460838,0.394622
12.413,0.480118,0.401519
12.4644,0.50193,0.409322
12.5067,0.520321,0.415877
12.5523,0.540425,0.423026
12.5999,0.561849,0.430613
12.6559,0.587595,0.439711
12.7071,0.611669,0.448175
12.7627,0.638396,0.457523
12.7853,0.64953,0.461388
12.8304,0.67198,0.469211
12.8778,0.696011,0.477567
12.9438,0.730169,0.489394
12.9706,0.744416,0.494271
13.0128,0.767173,0.502089
13.0682,0.797558,0.512496
13.1215,0.827571,0.522729
13.1641,0.852093,0.531038
13.1944,0.869924,0.537062
13.2345,0.893806,0.545118
13.287,0.925628,0.555812
13.3236,0.948372,0.563388
13.3669,0.975691,0.572451
13.4232,1.01197,0.584405
13.4522,1.03119,0.59068
13.4998,1.06312,0.601051
13.5397,1.09043,0.609847
13.5802,1.11872,0.618907
13.6203,1.14733,0.628008
13.663,1.17832,0.637791
13.7058,1.21002,0.647706
13.7461,1.24053,0.657166
13.786,1.2713,0.666624
13.8277,1.30413,0.67661
13.8676,1.33619,0.686257
13.9085,1.36962,0.696228
13.9493,1.40378,0.706299
13.9888,1.43749,0.716137
14.0304,1.47367,0.726588
14.0718,1.51042,0.73709
14.1149,1.54963,0.748171
14.1476,1.57994,0.756643
14.188,1.6181,0.767218
14.2252,1.65395,0.777064
14.2728,1.7008,0.789798
14.3026,1.73081,0.797842
14.3555,1.78503,0.812258
14.3886,1.81998,0.82142
14.4178,1.85136,0.829561
14.4516,1.88827,0.839059
14.4949,1.93648,0.85133
14.5277,1.97399,0.86075
14.5617,2.01351,0.870568
14.6003,2.05932,0.881813
14.6349,2.10137,0.891969
14.6678,2.14206,0.901662
14.7067,2.19133,0.913192
14.7379,2.23162,0.922453
14.7719,2.27663,0.932643
14.8053,2.32155,0.942644
14.8391,2.36819,0.952847
14.8868,2.43524,0.967223
14.915,2.47617,0.975789
14.9372,2.50897,0.982521
14.9711,2.55979,0.992787
15.0044,2.61079,1.00291
15.0316,2.65347,1.01121
15.0728,2.71917,1.0237
15.0986,2.76157,1.03157
15.124,2.804,1.03929
15.1513,2.85052,1.04756
15.1816,2.90292,1.05666
15.2146,2.96135,1.06659
15.2431,3.01308,1.07518
15.2655,3.05455,1.08193
15.295,3.10988,1.09073
15.3303,3.1778,1.10129
15.3684,3.25287,1.11268
15.3748,3.26591,1.11461
15.3997,3.31655,1.122
15.4256,3.37036,1.12969
15.4615,3.44636,1.14031
15.476,3.47802,1.14463
15.5004,3.53167,1.1518
15.5263,3.58994,1.15942
15.5479,3.63926,1.16572
15.5803,3.71482,1.1752
15.6059,3.77622,1.18273
15.6175,3.80472,1.18616
15.6402,3.86064,1.19277
15.6646,3.92208,1.19991
15.6841,3.97228,1.20565
