steering_wheel_angle,,等效转角,,
-367.55 ,-0.348263468,-19.95402685,,14.18800889
-366.97 ,-0.347784232,-19.92656869,,14.19034263
-366.39 ,-0.347305188,-19.89912148,,14.19267225
-365.81 ,-0.346826125,-19.87167317,,14.1949917
-365.23 ,-0.346347048,-19.84422407,,14.19730936
-364.65 ,-0.345867962,-19.81677448,,14.19961742
-364.07 ,-0.345388873,-19.78932472,,14.20192605
-363.49 ,-0.344909787,-19.76187508,,14.20422186
-362.91 ,-0.344430496,-19.73441378,,14.20651571
-362.33 ,-0.343951431,-19.70696533,,14.20879907
-361.75 ,-0.343472173,-19.67950588,,14.21108285
-361.16 ,-0.34299273,-19.65203582,,14.21335671
-360.58 ,-0.342513526,-19.62457949,,14.21563094
-360.00 ,-0.342034149,-19.5971132,,14.21789447
-359.42 ,-0.341554813,-19.56964925,,14.22015581
-358.84 ,-0.341075315,-19.54217606,,14.22240634
-358.26 ,-0.34059587,-19.51470586,,14.2246571
-357.68 ,-0.340116276,-19.48722713,,14.22690011
-357.10 ,-0.339636745,-19.45975203,,14.22914079
-356.52 ,-0.339157077,-19.43226909,,14.23137044
-355.94 ,-0.338677279,-19.4047787,,14.23360019
-355.36 ,-0.338197561,-19.37729292,,14.23581881
-354.78 ,-0.337717726,-19.34980037,,14.23804066
-354.20 ,-0.337237982,-19.32231304,,14.24025531
-353.62 ,-0.336757929,-19.29480806,,14.24245613
-353.04 ,-0.33627798,-19.26730897,,14.24466263
-352.45 ,-0.335797937,-19.23980455,,14.2468552
-351.87 ,-0.335317807,-19.21229515,,14.24904696
-351.29 ,-0.334837597,-19.18478114,,14.25123368
-350.71 ,-0.334357313,-19.15726289,,14.2534144
-350.13 ,-0.33387716,-19.12975215,,14.25558609
-349.55 ,-0.333396746,-19.10222645,,14.25776076
-348.97 ,-0.332916277,-19.07469759,,14.25992112
-348.39 ,-0.332435758,-19.04716591,,14.26208374
-347.81 ,-0.331955197,-19.01963178,,14.26423454
