yaw_rate_const,yaw_rate_const_kf,yaw_rate,yaw_rate_kf,yaw_rate_MOKF
0,0,-0.0042586,-0.00368779,-0.0125532
0,0,-0.0042586,-0.00376301,-0.0128092
0,0,-0.0042586,-0.00382832,-0.0130315
0,0,-0.0042586,-0.00388502,-0.0132245
0,0,-0.0042586,-0.00393425,-0.0133921
0,0,-0.00851721,-0.00453816,-0.0154478
0,0,-0.00851721,-0.0050625,-0.0172327
0,0,0,-0.00439539,-0.0149618
0,0,0,-0.00381619,-0.0129903
0,0,0,-0.00331331,-0.0112785
0,0,0,-0.0028767,-0.00979226
0,0,-0.0042586,-0.0030588,-0.0104121
0,0,-0.0042586,-0.00321691,-0.0109503
0,0,-0.0042586,-0.00335418,-0.0114176
0,0,-0.0042586,-0.00347336,-0.0118233
0,0,-0.0042586,-0.00357683,-0.0121755
0,0,-0.0042586,-0.00366667,-0.0124813
0,0,0,-0.0031835,-0.0108366
0,0,0,-0.00276399,-0.0094086
0,0,0,-0.00239977,-0.00816878
0,0,0,-0.00208354,-0.00709235
0,0,0,-0.00180898,-0.00615776
0,0,0,-0.00157061,-0.00534632
0,0,-0.0042586,-0.00192482,-0.00655205
0,0,-0.0042586,-0.00223235,-0.00759889
0,0,0,-0.00193818,-0.00659755
0,0,0,-0.00168278,-0.00572816
0,0,0,-0.00146103,-0.00497333
0,0,0,-0.00126851,-0.00431797
0,0,-0.0042586,-0.00166252,-0.00565921
0,0,-0.0042586,-0.00200462,-0.0068237
0,0,-0.0042586,-0.00230164,-0.00783474
0,0,-0.0042586,-0.00255952,-0.00871256
0,0,-0.0042586,-0.00278341,-0.0094747
0,0,-0.0042586,-0.00297781,-0.0101364
0,0,0,-0.00258541,-0.00880069
0,0,0,-0.00224472,-0.00764098
0,0,0,-0.00194892,-0.00663409
0,0,0,-0.0016921,-0.00575989
0,0,0,-0.00146913,-0.00500088
0,0,0,-0.00127553,-0.0043419
0,0,-0.0042586,-0.00166863,-0.00567998
0,0,-0.0042586,-0.00200992,-0.00684173
0,0,-0.0042586,-0.00230624,-0.0078504
0,0,-0.0042586,-0.00256351,-0.00872615
0,0,0,-0.0022257,-0.00757627
0,0,0,-0.00193241,-0.00657791
0,0,0,-0.00167777,-0.00571111
0,0,0,-0.00145668,-0.00495853
0,0,-0.0042586,-0.0018259,-0.00621535
0,0,-0.0042586,-0.00214647,-0.00730656
0,0,0,-0.00186362,-0.00634374
0,0,0,-0.00161804,-0.0055078
0,0,0,-0.00140483,-0.00478201
0,0,0,-0.00121971,-0.00415187
0,0,-0.0042586,-0.00162016,-0.00551499
0,0,-0.0042586,-0.00196784,-0.00669849
0,0,-0.0042586,-0.0022697,-0.00772603
0,0,0,-0.00197061,-0.00670794
0,0,0,-0.00171094,-0.005824
0,0,0,-0.00148548,-0.00505655
0,0,0,-0.00128973,-0.00439022
0,0,0,-0.00111978,-0.0038117
0,0,-0.0042586,-0.00153339,-0.00521965
0,0,-0.0042586,-0.00189251,-0.00644207
0,0,-0.0042586,-0.0022043,-0.0075034
0,0,-0.0042586,-0.002475,-0.00842487
0,0,-0.0042586,-0.00271004,-0.00922492
0,0,-0.0042586,-0.0029141,-0.00991955
0,0,-0.0042586,-0.00309127,-0.0105226
0,0,-0.0042586,-0.00324509,-0.0110463
0,0,-0.0042586,-0.00337865,-0.0115009
0,0,-0.0042586,-0.0034946,-0.0118956
0,0,-0.0042586,-0.00359528,-0.0122383
0,0,-0.0042586,-0.00368269,-0.0125358
0,0,-0.0042586,-0.00375858,-0.0127942
