time_stamp,steering_wheel_angle,speed,yaw_rate,lateral_acc
3158650833,-77.375,1.93576,-0.0752673,-0.1875
3158672101,-76.6875,1.9184,-0.0752673,-0.09375
3158693241,-76.0625,1.90538,-0.0719948,0
3158711112,-75.6875,1.8967,-0.0687223,0.09375
3158731489,-74.1875,1.89236,-0.0654498,0.09375
3158750739,-73.6875,1.90538,-0.0599957,0.09375
3158773234,-72.375,1.92708,-0.0556324,0.09375
3158791358,-71.6875,1.95312,-0.051269,0
3158811431,-71.1875,1.98785,-0.0490874,0
3158830824,-70.5,2.02257,-0.0479966,-0.09375
3158852144,-69.5625,2.07465,-0.0490874,-0.1875
3158870728,-68.25,2.11806,-0.0545415,-0.28125
3158891496,-67.1875,2.15278,-0.0599957,-0.28125
3158917269,-66.0625,2.17448,-0.0654498,-0.1875
3158930863,-65.5,2.20052,-0.070904,-0.1875
3158950879,-64.375,2.21788,-0.0752673,-0.1875
3158971237,-62.5,2.22656,-0.077449,-0.1875
3158992714,-61.1875,2.23958,-0.0752673,-0.1875
3159012899,-60.5625,2.24826,-0.0698132,-0.09375
3159031013,-58.5625,2.24826,-0.064359,-0.09375
3159054369,-57.875,2.24392,-0.0589049,-0.1875
3159080427,-55.875,2.23524,-0.0556324,-0.1875
3159102282,-54.375,2.23524,-0.0501782,-0.1875
3159110948,-53.5,2.22656,-0.0490874,-0.28125
3159130928,-50.5625,2.22222,-0.0490874,-0.28125
3159152109,-48.5625,2.2092,-0.0501782,-0.28125
3159170651,-46.5,2.19618,-0.051269,-0.28125
3159190831,-44.25,2.1875,-0.0523599,-0.28125
3159210965,-42.0625,2.18316,-0.0534507,-0.1875
3159232338,-41,2.18316,-0.0545415,-0.1875
3159251564,-38.75,2.1875,-0.0534507,-0.09375
3159278630,-35.375,2.19184,-0.051269,0
3159299238,-33.1875,2.19184,-0.0479966,0
3159311915,-32.0625,2.19184,-0.0447241,0.09375
3159330914,-28.75,2.19618,-0.0403607,0.1875
3159350924,-27.75,2.20486,-0.0359974,0.1875
3159375611,-24.25,2.21354,-0.0327249,0.28125
3159391607,-21.875,2.22222,-0.0283616,0.28125
3159410537,-19.375,2.22656,-0.0261799,0.1875
3159430681,-18.0625,2.23958,-0.0229074,0.09375
3159450919,-15.25,2.25261,-0.0229074,0.09375
3159473579,-10.875,2.25261,-0.0207258,0
3159496417,-7.875,2.25694,-0.019635,0
3159514637,-4.875,2.26128,-0.0185441,0
3159530857,-1.75,2.26562,-0.0185441,0
3159550723,-0.1875,2.27431,-0.0174533,0
3159586507,4.5625,2.27864,-0.0152716,0
3159590541,7.5625,2.28299,-0.0119991,0
3159610673,9.0625,2.28733,-0.00981748,0.09375
3159630802,13.5625,2.29167,-0.00545415,0.09375
3159650699,15.1875,2.29167,-0.00109083,0.1875
3159670484,19.75,2.29167,0.00218166,0.28125
3159700579,22.75,2.28733,0.00654498,0.28125
3159710503,24.25,2.28733,0.0109083,0.390625
3159730523,27.1875,2.29167,0.01309,0.390625
3159750785,31,2.29601,0.0163625,0.390625
3159776048,33.0625,2.30469,0.019635,0.390625
3159794675,35.375,2.30903,0.0218166,0.390625
3159810666,38.1875,2.31337,0.0239983,0.390625
3159830410,40.75,2.32205,0.0261799,0.390625
3159850449,41.875,2.32205,0.0283616,0.390625
3159873314,46.1875,2.33073,0.0294524,0.390625
3159895723,49.6875,2.33941,0.0316341,0.390625
3159912184,51.5,2.34809,0.0338158,0.390625
3159931722,57.375,2.35677,0.0359974,0.390625
3159950430,59.375,2.36545,0.0392699,0.390625
3159972842,65.5,2.37413,0.0425424,0.390625
3159990668,69.6875,2.38715,0.0458149,0.390625
3200010796,73.875,2.39583,0.0490874,0.390625
3200031500,75.75,2.40451,0.0534507,0.390625
3200051855,79.5,2.41753,0.057814,0.390625
3200078243,85,2.43056,0.0621774,0.484375
3200102111,88.875,2.43924,0.0676315,0.484375
3200113150,92.875,2.44792,0.0719948,0.578125
3200130244,94.75,2.46094,0.077449,0.578125
3200150346,98.75,2.46962,0.083994,0.578125
3200170900,104.688,2.48264,0.0883573,0.578125
3200191490,108.5,2.49132,0.0938114,0.578125
3200214075,112.188,2.49132,0.0981748,0.578125
3200231691,115.875,2.5,0.102538,0.671875
3200253421,117.688,2.5217,0.106901,0.671875
3200270415,123,2.53038,0.111265,0.671875
3200292679,126.5,2.53906,0.115628,0.671875
3200311021,130,2.53906,0.119991,0.78125
3200330279,131.75,2.55208,0.124355,0.78125
3200351755,135.75,2.56076,0.127627,0.78125
3200372295,142.062,2.56944,0.131991,0.875
3200390145,146.5,2.59114,0.136354,0.875
3200411415,151.188,2.59114,0.140717,0.875
3200430152,153.688,2.60417,0.146171,0.96875
3200452874,158.75,2.61285,0.151625,0.96875
3200471965,166.875,2.61285,0.155989,0.96875
3200492374,172.375,2.61719,0.161443,0.96875
3200511496,178.188,2.62587,0.167988,1.07812
3200530291,183.75,2.63021,0.173442,1.07812
3200550304,186.562,2.63889,0.181078,1.17188
3200573462,194.25,2.63889,0.187623,1.17188
3200590858,199,2.64323,0.195259,1.17188
3200610148,201.375,2.64323,0.201804,1.26562
3200630065,206,2.64757,0.208349,1.26562
3200651748,210.562,2.65191,0.215984,1.26562
3200671162,217.562,2.65191,0.22362,1.26562
3200693296,222.062,2.65625,0.229074,1.26562
3200711044,226.188,2.65625,0.234529,1.17188
3200730274,230.062,2.66059,0.239983,1.17188
3200750080,231.875,2.66059,0.243255,1.07812
3200780800,237.062,2.66059,0.247619,1.07812
3200790173,240.188,2.66059,0.250891,1.17188
3200810390,241.688,2.65625,0.254164,1.17188
3200830743,246,2.65625,0.258527,1.26562
3200850623,247.375,2.65191,0.261799,1.26562
3200875952,251.188,2.66059,0.267254,1.26562
3200891105,253.688,2.66927,0.271617,1.26562
3200910850,256.188,2.66927,0.27598,1.26562
3200930469,257.5,2.66059,0.280344,1.26562
3200951871,260,2.65625,0.284707,1.17188
