speed_f,yaw_rate_f,longitude_acc_f,lateral_acc_f,X_f,Y_f,PHI_f
9.41534,-0.00858905,0.427039,-0.294818,20.1001,-0.768171,-0.0716931
9.42146,-0.00766124,0.429716,-0.294748,20.4841,-0.767663,-0.0573921
9.42925,-0.00709539,0.432007,-0.294687,20.6797,-0.778947,-0.0575295
9.43883,-0.00664236,0.434251,-0.29463,20.8837,-0.790684,-0.0576568
9.44867,-0.00590982,0.437847,-0.294514,21.0457,-0.799873,-0.0577171
9.45905,-0.00539659,0.440268,-0.294429,21.2355,-0.81071,-0.0577893
9.46656,-0.00484265,0.442067,-0.294363,21.4275,-0.82196,-0.0578395
9.47683,-0.00455001,0.444238,-0.294293,21.4951,-0.776439,-0.088703
9.48567,-0.00404088,0.446096,-0.294225,21.6844,-0.793272,-0.0887747
9.49655,-0.00359303,0.448105,-0.294158,21.8766,-0.810283,-0.0888314
9.50355,-0.00308976,0.449579,-0.294086,22.0618,-0.826896,-0.0888644
9.50777,-0.00243722,0.450235,-0.294023,22.4835,-0.847842,-0.0804608
9.51823,-0.00209665,0.451613,-0.293983,22.6943,-0.864818,-0.0805008
9.52887,-0.00168766,0.453821,-0.293921,22.8665,-0.878582,-0.0805151
9.53979,-0.00136484,0.455487,-0.293871,23.057,-0.893822,-0.0805245
9.54919,-0.00105296,0.45705,-0.29379,23.2367,-0.908256,-0.0805217
9.55779,-0.000808984,0.458243,-0.293715,23.4234,-0.923356,-0.0805159
9.57247,-0.000483247,0.459855,-0.293669,23.4778,-0.841017,-0.0412129
9.58267,-0.000209957,0.461219,-0.293613,23.6612,-0.848528,-0.0412116
9.59344,4.07058e-05,0.4625,-0.293558,23.8495,-0.856202,-0.0412015
9.60327,0.000271943,0.463484,-0.293506,24.0427,-0.864133,-0.0411834
9.61113,0.000612979,0.46407,-0.293457,24.4482,-0.904772,-0.0558836
9.61958,0.000918574,0.464891,-0.2934,24.6335,-0.915158,-0.05586
9.62714,0.00122641,0.460698,-0.293347,24.8261,-0.926017,-0.0558241
9.63421,0.00147408,0.456834,-0.293297,25.0259,-0.937348,-0.05578
9.63947,0.00174115,0.457278,-0.293248,25.2282,-0.94902,-0.0557243
9.64346,0.0021323,0.45809,-0.29318,25.4016,-0.959108,-0.0556507
9.65187,0.00234514,0.454534,-0.293131,25.4579,-0.91035,-0.046453
9.65817,0.00263616,0.450757,-0.293056,25.654,-0.919574,-0.0463938
9.6629,0.00296506,0.446564,-0.292968,25.835,-0.928174,-0.0463257
9.66946,0.00325046,0.443411,-0.292897,26.0379,-0.937771,-0.0462419
9.67375,0.00378258,0.439867,-0.292792,26.4331,-0.98097,-0.0524788
9.68304,0.00418969,0.437385,-0.292695,26.6307,-0.991334,-0.0523858
9.69256,0.00458465,0.435272,-0.292612,26.8455,-1.00261,-0.0522697
9.70035,0.00530153,0.431963,-0.292464,27.0067,-1.01099,-0.0521408
9.70891,0.0058069,0.429776,-0.292361,27.2013,-1.02115,-0.0519886
9.71916,0.00623903,0.428167,-0.292277,27.417,-1.03229,-0.0518127
9.72999,0.00718595,0.426207,-0.292156,27.426,-0.989536,0.0312253
9.73884,0.00772764,0.424381,-0.292053,27.6229,-0.983377,0.0313909
9.74448,0.00839642,0.422021,-0.29191,27.8076,-0.9777,0.0315741
9.74888,0.00898443,0.419719,-0.291779,28.0014,-0.971851,0.0317835
9.74823,0.0093992,0.416869,-0.291649,28.4215,-1.04926,-0.0342733
9.75414,0.00989763,0.415146,-0.291532,28.627,-1.05642,-0.0340555
9.75951,0.010508,0.413324,-0.291391,28.8156,-1.06299,-0.0338293
9.7647,0.0110487,0.411603,-0.291278,29.0064,-1.06964,-0.0335838
9.77136,0.0115101,0.410257,-0.291178,29.2103,-1.07665,-0.0333107
9.77704,0.0120097,0.40876,-0.291058,29.3962,-1.08305,-0.033038
9.78571,0.0120399,0.407868,-0.290983,29.449,-1.09806,-0.0695627
9.79433,0.012326,0.407015,-0.290911,29.6624,-1.11294,-0.0692879
9.80092,0.0127365,0.405729,-0.29079,29.8272,-1.12438,-0.0690569
9.80989,0.0130136,0.405045,-0.290704,30.0236,-1.13791,-0.0687806
9.81839,0.0135257,0.404331,-0.290624,30.4459,-1.13684,-0.0472987
9.82492,0.0138057,0.403329,-0.290528,30.6331,-1.14574,-0.0470299
9.83317,0.0140481,0.402652,-0.290453,30.8453,-1.15575,-0.0467178
9.84034,0.0143504,0.401844,-0.290355,31.0322,-1.16452,-0.046428
9.84709,0.0146629,0.405966,-0.290262,31.2241,-1.17354,-0.0461197
9.85483,0.0149439,0.409676,-0.290176,31.4234,-1.1828,-0.0457924
9.8612,0.0151557,0.408282,-0.290086,31.4586,-1.15057,-0.0280421
9.86464,0.0154002,0.406585,-0.289994,31.6535,-1.15621,-0.0277332
9.87099,0.0156316,0.405441,-0.289904,31.8509,-1.16178,-0.0274122
9.87756,0.015852,0.404394,-0.289815,32.0503,-1.16736,-0.0270802
9.88238,0.0162628,0.397327,-0.289732,32.4741,-1.19411,-0.0301448
9.88847,0.0164924,0.389635,-0.28963,32.6609,-1.19979,-0.0298287
9.89535,0.0167165,0.383395,-0.289541,32.8623,-1.20585,-0.0294803
9.90156,0.0169869,0.377581,-0.289457,33.0688,-1.21205,-0.0291113
9.90486,0.0173039,0.365412,-0.289353,33.2563,-1.21781,-0.0287608
9.90846,0.0175342,0.355466,-0.289265,33.4591,-1.22399,-0.0283817
9.91408,0.0175223,0.345519,-0.289167,33.4768,-1.20602,-0.0527367
9.91754,0.0177252,0.336182,-0.289072,33.6735,-1.21653,-0.0523811
9.91945,0.017866,0.328097,-0.288989,33.8857,-1.22793,-0.0519936
9.91876,0.0180062,0.318112,-0.288881,34.0705,-1.238,-0.05165
9.92124,0.018301,0.310823,-0.288794,34.5057,-1.25124,-0.0542477
9.92397,0.0183426,0.303321,-0.288699,34.7035,-1.26211,-0.0538809
9.92371,0.0184613,0.295234,-0.288593,34.8919,-1.27259,-0.0535256
9.92762,0.0185166,0.289965,-0.288539,35.1166,-1.28481,-0.0531031
9.93325,0.0186469,0.282683,-0.288452,35.2921,-1.29408,-0.0527636
9.93993,0.0187133,0.277302,-0.288352,35.4871,-1.30425,-0.0523901
9.94531,0.018775,0.272205,-0.288257,35.5218,-1.26491,-0.0330854
9.94762,0.0188325,0.26707,-0.288164,35.7258,-1.27178,-0.0326981
9.95165,0.0188955,0.261984,-0.288058,35.9173,-1.2781,-0.0323319
9.95828,0.0189125,0.258807,-0.287986,36.1498,-1.28557,-0.0318893
9.96261,0.0192314,0.258919,-0.28792,36.5833,-1.28755,-0.00314221
9.97072,0.019235,0.257224,-0.287886,36.9786,-1.2889,-0.00237964
9.94008,0.0206013,0.183339,-0.243708,36.9901,-1.29053,-0.0022787
9.94527,0.0206016,0.183327,-0.243631,37.2498,-1.29111,-0.00174062
9.95839,0.0206098,0.183127,-0.242085,37.3015,-1.2908,-0.00163321
9.96253,0.0206213,0.183102,-0.241991,37.5105,-1.29113,-0.00120009
9.96689,0.0206424,0.183075,-0.241903,37.5699,-1.26264,0.0290246
9.97131,0.0206866,0.18306,-0.241761,37.7411,-1.25763,0.0293807
9.97693,0.0207095,0.18309,-0.241653,37.9622,-1.25107,0.0298404
9.98198,0.0207467,0.18311,-0.241489,38.1422,-1.2456,0.0302162
9.98614,0.0207633,0.183089,-0.241387,38.591,-1.30808,-0.00685966
9.99124,0.0207758,0.183119,-0.241241,38.7825,-1.30934,-0.0064611
9.99608,0.0207648,0.183105,-0.241133,39.0057,-1.31074,-0.00599783
10.0011,0.0207484,0.183044,-0.241045,39.2798,-1.31239,-0.00542978
10.0053,0.0206791,0.18297,-0.240736,39.4125,-1.31298,-0.00515988
10.0146,0.020387,0.183405,-0.240561,39.5971,-1.31418,-0.134686
10.0208,0.0203568,0.183553,-0.240442,39.7874,-1.33988,-0.134296
10.0259,0.0203493,0.183513,-0.240354,40.0363,-1.37349,-0.133786
10.0285,0.02036,0.183255,-0.240116,40.1878,-1.39389,-0.133475
10.0352,0.0203472,0.18347,-0.239974,40.3844,-1.42006,-0.133074
10.0448,0.0207623,0.183926,-0.239864,40.6683,-1.316,0.00771648
10.0511,0.0207051,0.180489,-0.239761,40.8768,-1.3143,0.00814516
10.06,0.020659,0.176781,-0.239636,41.0671,-1.31246,0.00853441
10.0714,0.0205528,0.173934,-0.239524,41.2683,-1.31021,0.00894
10.0829,0.020449,0.171308,-0.239415,41.4732,-1.30771,0.00934908
10.0911,0.0203444,0.168865,-0.239349,41.7009,-1.30516,0.00979984
10.1007,0.0201365,0.15959,-0.23924,41.664,-1.32508,0.0118944
10.1106,0.0201018,0.152971,-0.239127,41.8664,-1.32243,0.0122965
10.1183,0.020115,0.15076,-0.238992,42.0756,-1.31962,0.012713
10.1231,0.0201561,0.147914,-0.238871,42.2726,-1.31699,0.0131073
10.1274,0.0201473,0.141133,-0.238788,42.7317,-1.36128,-0.0431937
10.1378,0.02019,0.134754,-0.238696,42.9266,-1.36942,-0.042804
10.1487,0.0201762,0.129065,-0.238607,43.1257,-1.3775,-0.0424081
10.1557,0.0201883,0.123909,-0.23853,43.3407,-1.38632,-0.0419796
10.162,0.020203,0.117654,-0.238435,43.5342,-1.3941,-0.0415933
10.174,0.0202657,0.113597,-0.238355,43.7466,-1.402,-0.0411642
10.1801,0.0205442,0.108208,-0.238266,43.7599,-1.35959,0.0496638
10.1759,0.0207015,0.106263,-0.238171,43.9553,-1.3501,0.0500646
10.1772,0.0208464,0.105292,-0.238082,44.1571,-1.34003,0.0504835
10.1919,0.0210685,0.106439,-0.237996,44.3628,-1.32878,0.0509212
10.2041,0.0211669,0.107248,-0.237886,44.807,-1.38571,0.00924319
10.2091,0.0212417,0.106802,-0.237769,45.0138,-1.38369,0.00967501
10.2157,0.021227,0.111486,-0.23761,45.2134,-1.38152,0.0100892
10.2254,0.0212452,0.116615,-0.237438,45.4059,-1.37905,0.0104906
10.236,0.021202,0.125625,-0.237289,45.6129,-1.37621,0.0109165
10.2459,0.0211334,0.133734,-0.237146,45.8256,-1.37319,0.0113497
10.2541,0.020834,0.14193,-0.237023,45.8543,-1.44491,0.00690076
10.2659,0.0206201,0.149883,-0.236934,46.0617,-1.44315,0.00731368
10.2772,0.0203245,0.157921,-0.236836,46.2596,-1.44126,0.00769453
10.2877,0.020017,0.164496,-0.236751,46.473,-1.43913,0.00809376
10.2976,0.0198615,0.178198,-0.236653,46.9111,-1.45561,0.0121449
10.3073,0.0194398,0.189644,-0.236567,47.1232,-1.45281,0.0125377
10.3156,0.0188823,0.195057,-0.236463,47.3178,-1.45013,0.0128737
10.3232,0.0183369,0.19952,-0.236371,47.5243,-1.44723,0.0132118
10.3312,0.0177929,0.203484,-0.236287,47.7411,-1.44405,0.0135475
10.3389,0.0171464,0.207369,-0.236199,47.9537,-1.44083,0.0138444
10.3448,0.0165116,0.21158,-0.236089,47.986,-1.46195,0.078137
10.3505,0.015931,0.21468,-0.236001,48.1983,-1.44528,0.078455
10.3554,0.0153892,0.217542,-0.235911,48.41,-1.42861,0.0787513
10.3575,0.0148691,0.220373,-0.235803,48.6029,-1.41352,0.0790011
