gps_lon,gps_lattime_stamp
121.39923661162055,31.17445962651170,4640022446
121.39923629415766,31.17446118147482,4640043503
121.39923594881418,31.17446287474876,4640062679
121.39923559478306,31.17446461182330,4640083551
121.39923529552453,31.17446611060158,4640104951
121.39923498497207,31.17446765731081,4640123369
121.39923463578724,31.17446936852945,4640142375
121.39923431895214,31.17447091330586,4640163424
121.39923397887870,31.17447256440766,4640182403
121.39923364751198,31.17447420011957,4640202690
121.39923331149727,31.17447588291062,4640222751
121.39923299794759,31.17447746134359,4640243368
121.39923266513306,31.17447912304910,4640262676
121.39923235079426,31.17448070536850,4640283006
121.39923203021944,31.17448234099582,4640302331
121.39923170127565,31.17448400827234,4640322288
121.39923136066899,31.17448575383760,4640342634
121.39923106565801,31.17448727603426,4640363914
121.39923072716503,31.17448899507672,4640382414
121.39923042030836,31.17449056058461,4640403350
121.39923009522890,31.17449221313457,4640422374
121.39922977085469,31.17449388590291,4640442463
121.39922945917036,31.17449549602131,4640462772
121.39922913395031,31.17449717753147,4640482298
121.39922880255591,31.17449888038283,4640502691
121.39922849764926,31.17450044179305,4640523345
121.39922815699288,31.17450218826639,4640542237
121.39922785166418,31.17450378477146,4640563406
121.39922754229755,31.17450540567877,4640582688
121.39922722375037,31.17450707551703,4640602265
121.39922689987196,31.17450873535443,4640622424
121.39922658004546,31.17451037294014,4640642474
121.39922625294366,31.17451202876438,4640662240
121.39922591033614,31.17451378174351,4640682232
121.39922559187656,31.17451545458557,4640703391
121.39922529277005,31.17451703920610,4640723523
121.39922496683849,31.17451872847858,4640742551
121.39922465672173,31.17452033798385,4640762890
121.39922433658990,31.17452199810588,4640782232
121.39922399734995,31.17452374867574,4640802174
121.39922369151090,31.17452532731146,4640823215
121.39922336700820,31.17452700254397,4640842117
121.39922301990346,31.17452876408355,4640862182
121.39922271280705,31.17453034221175,4640883304
121.39922238406567,31.17453201675952,4640902132
121.39922203723287,31.17453377285219,4640922137
121.39922172227959,31.17453537708210,4640943116
121.39922137724939,31.17453715142488,4640962196
121.39922106054456,31.17453877645563,4640983321
121.39922073626670,31.17454045001060,4641002591
121.39922041665773,31.17454210748472,4641022412
121.39922057044805,31.17454240698956,4641042004
121.39922030279624,31.17454400330302,4641063109
121.39922000507919,31.17454575944099,4641082167
121.39921972727932,31.17454743336934,4641103108
121.39921914637785,31.17454989585712,4641123042
121.39921882212968,31.17455164069467,4641142309
121.39921848021451,31.17455345948109,4641163090
121.39921820417679,31.17455490148376,4641184738
121.39921788311725,31.17455659257091,4641201913
121.39921756744799,31.17455830531811,4641222012
121.39921727771325,31.17455986411758,4641242320
121.39921702026709,31.17456156275727,4641261998
121.39921675387447,31.17456328693315,4641282027
121.39921650744171,31.17456495019153,4641302350
121.39921601521057,31.17456723801924,4641321905
121.39921571012934,31.17456912717494,4641343055
121.39921545610682,31.17457066992880,4641365270
121.39921517728904,31.17457237618493,4641383411
121.39921491699867,31.17457398673928,4641403443
121.39921464988731,31.17457566064337,4641422323
121.39921406382696,31.17457762143322,4641441915
121.39921371985145,31.17457924959904,4641463131
121.39921336603928,31.17458092112638,4641482289
121.39921300633151,31.17458263744970,4641501937
121.39921250212569,31.17458467206823,4641522078
121.39921218888315,31.17458632445967,4641542873
121.39921186488992,31.17458804216986,4641562166
121.39921153099377,31.17458982450946,4641582198
121.39921119960223,31.17459163171949,4641602960
121.39921091789272,31.17459317984349,4641623976
121.39921040286454,31.17459504261827,4641641964
121.39921005562400,31.17459678810907,4641663026
121.39920973764926,31.17459840032313,4641683342
121.39920937843398,31.17460020641406,4641702088
121.39920889473710,31.17460212681685,4641723083
121.39920855052769,31.17460388690768,4641742725
121.39920817781574,31.17460580094624,4641763157
121.39920789576648,31.17460723678063,4641785349
121.39920755790463,31.17460896970863,4641801990
121.39920718108419,31.17461089121353,4641822049
121.39920646381708,31.17461279473508,4641844275
121.39920595043482,31.17461451579762,4641862802
121.39920547542732,31.17461613201611,4641883030
121.39920498135884,31.17461782781837,4641901991
121.39920456748260,31.17461959909599,4641921862
121.39920417985979,31.17462142546803,4641941868
121.39920382430070,31.17462310070654,4641962949
121.39920346500105,31.17462479587311,4641982274
121.39920307778851,31.17462660679505,4642001816
121.39920272550847,31.17462825818757,4642022688
121.39920239174050,31.17463001344767,4642041706
121.39920205833853,31.17463192237738,4642063016
121.39920180085217,31.17463339634508,4642084856
121.39920149044062,31.17463515293633,4642101707
121.39920098732037,31.17463724483412,4642121783
121.39920065559916,31.17463891247541,4642142533
121.39920027720682,31.17464080086349,4642161612
121.39919994357030,31.17464246529117,4642183207
121.39919960435599,31.17464417378556,4642202226
121.39919924952588,31.17464594847113,4642221725
121.39919874564821,31.17464782186513,4642241970
121.39919836899472,31.17464955232276,4642261890
121.39919797983255,31.17465130224912,4642281653
121.39919758578664,31.17465307016988,4642301651
121.39919707431136,31.17465509999106,4642321843
121.39919670882634,31.17465675666577,4642342717
121.39919631375673,31.17465854214473,4642361611
121.39919591011056,31.17466037385481,4642381964
121.39919554673425,31.17466203754909,4642402825
121.39919515361147,31.17466383690501,4642421753
121.39919476617918,31.17466551143672,4642442218
121.39919442965299,31.17466726500196,4642461721
121.39919407131406,31.17466915735347,4642481575
121.39919376362687,31.17467080731553,4642502980
121.39919328984844,31.17467286648527,4642521628
121.39919295692098,31.17467463085670,4642542598
121.39919264629860,31.17467631325246,4642562550
121.39919226507202,31.17467831675484,4642581552
